name,variable_description,data_collection_period,educational_category,high_school_diploma,college_degree,graduate_degree,population_estimate
"Osceola County, Iowa",Total,2013-2017,NA,NA,NA,NA,4283
"Washington County, Iowa",3rd grade,2014-2018,Less than High School,No,No,No,39
"Union County, Iowa",Total,2012-2016,NA,NA,NA,NA,8538
"Allamakee County, Iowa",Nursery school,2011-2015,Less than High School,No,No,No,0
"Buchanan County, Iowa",Nursery school,2015-2019,Less than High School,No,No,No,0
"Muscatine County, Iowa",10th grade,2010-2014,Less than High School,No,No,No,768
"Carroll County, Iowa",7th grade,2012-2016,Less than High School,No,No,No,6
"Buena Vista County, Iowa","Some college, 1 or more years, no degree",2014-2018,Some College or Associates Degree,Yes,No,No,1624
"Buena Vista County, Iowa",Professional school degree,2010-2014,Bachelors Degree or Higher,Yes,Yes,Yes,127
"Fayette County, Iowa",3rd grade,2010-2014,Less than High School,No,No,No,1
"Hamilton County, Iowa",10th grade,2008-2012,Less than High School,No,No,No,209
"Des Moines County, Iowa",7th grade,2010-2014,Less than High School,No,No,No,60
"Scott County, Iowa",Total,2009-2013,NA,NA,NA,NA,111627
"Washington County, Iowa",4th grade,2013-2017,Less than High School,No,No,No,0
"Montgomery County, Iowa",Professional school degree,2013-2017,Bachelors Degree or Higher,Yes,Yes,Yes,43
"Washington County, Iowa",2nd grade,2011-2015,Less than High School,No,No,No,0
"Pocahontas County, Iowa",Nursery school,2014-2018,Less than High School,No,No,No,0
"Davis County, Iowa",9th grade,2013-2017,Less than High School,No,No,No,11
"Mahaska County, Iowa",Doctorate degree,2010-2014,Bachelors Degree or Higher,Yes,Yes,Yes,90
"Wayne County, Iowa",7th grade,2012-2016,Less than High School,No,No,No,15
"Clarke County, Iowa","12th grade, no diploma",2014-2018,Less than High School,No,No,No,61
"Sioux County, Iowa","Some college, less than 1 year",2008-2012,Some College or Associates Degree,Yes,No,No,1118
"Ringgold County, Iowa",Total,2010-2014,NA,NA,NA,NA,3554
"Woodbury County, Iowa","Some college, 1 or more years, no degree",2013-2017,Some College or Associates Degree,Yes,No,No,8965
"Wayne County, Iowa","12th grade, no diploma",2009-2013,Less than High School,No,No,No,32
"Franklin County, Iowa",9th grade,2012-2016,Less than High School,No,No,No,166
"Hardin County, Iowa",2nd grade,2015-2019,Less than High School,No,No,No,0
"Polk County, Iowa",Bachelor's degree,2013-2017,Bachelors Degree or Higher,Yes,Yes,No,75457
"Chickasaw County, Iowa",No schooling completed,2010-2014,Less than High School,No,No,No,41
"Clinton County, Iowa",6th grade,2011-2015,Less than High School,No,No,No,39
"Jackson County, Iowa",1st grade,2011-2015,Less than High School,No,No,No,0
"Mitchell County, Iowa","Some college, 1 or more years, no degree",2011-2015,Some College or Associates Degree,Yes,No,No,813
"Howard County, Iowa",GED or alternative credential,2010-2014,High School Graduate,Yes,No,No,283
"Woodbury County, Iowa",6th grade,2009-2013,Less than High School,No,No,No,1037
"Scott County, Iowa","Some college, less than 1 year",2014-2018,Some College or Associates Degree,Yes,No,No,8545
"Audubon County, Iowa",GED or alternative credential,2012-2016,High School Graduate,Yes,No,No,161
"Monroe County, Iowa",Master's degree,2010-2014,Bachelors Degree or Higher,Yes,Yes,No,181
"Chickasaw County, Iowa",Doctorate degree,2015-2019,Bachelors Degree or Higher,Yes,Yes,Yes,20
"O'Brien County, Iowa",Total,2015-2019,NA,NA,NA,NA,9578
"Jackson County, Iowa",7th grade,2012-2016,Less than High School,No,No,No,22
"Muscatine County, Iowa",GED or alternative credential,2015-2019,High School Graduate,Yes,No,No,1532
"Clay County, Iowa",10th grade,2009-2013,Less than High School,No,No,No,174
"Adams County, Iowa","12th grade, no diploma",2008-2012,Less than High School,No,No,No,51
"Appanoose County, Iowa",3rd grade,2009-2013,Less than High School,No,No,No,0
"Bremer County, Iowa",GED or alternative credential,2008-2012,High School Graduate,Yes,No,No,464
"Lucas County, Iowa",6th grade,2015-2019,Less than High School,No,No,No,2
"Mills County, Iowa",Nursery school,2012-2016,Less than High School,No,No,No,1
"Audubon County, Iowa",Associate's degree,2008-2012,Some College or Associates Degree,Yes,Yes,No,480
"Humboldt County, Iowa",Master's degree,2012-2016,Bachelors Degree or Higher,Yes,Yes,No,235
"Pocahontas County, Iowa",10th grade,2010-2014,Less than High School,No,No,No,61
"Allamakee County, Iowa",Master's degree,2013-2017,Bachelors Degree or Higher,Yes,Yes,No,359
"Winneshiek County, Iowa","Some college, 1 or more years, no degree",2012-2016,Some College or Associates Degree,Yes,No,No,1868
"Benton County, Iowa","Some college, 1 or more years, no degree",2015-2019,Some College or Associates Degree,Yes,No,No,2341
"Buchanan County, Iowa",8th grade,2009-2013,Less than High School,No,No,No,496
"Allamakee County, Iowa",8th grade,2014-2018,Less than High School,No,No,No,383
"Taylor County, Iowa",11th grade,2009-2013,Less than High School,No,No,No,155
"Ringgold County, Iowa",Nursery school,2008-2012,Less than High School,No,No,No,0
"Guthrie County, Iowa",Bachelor's degree,2009-2013,Bachelors Degree or Higher,Yes,Yes,No,958
